employee_id,employee_name,gender,age,department,job_role,education,salary,joining_date,experience_years,performance_rating
1091,Employee_91,Male,24,Operations,Coordinator,Master,71160,06-02-2023,4,2
1092,Employee_92,Male,28,Finance,Accountant,MBA,61896,29-07-2024,2,3
1093,Employee_93,Female,22,IT,Data Analyst,Bachelor,49408,24-06-2019,11,2
1094,Employee_94,Male,37,IT,Software Engineer,Bachelor,90176,18-09-2018,9,2
1095,Employee_95,Male,23,Sales,Sales Executive,MBA,103347,08-05-2018,5,5
1096,Employee_96,Male,26,Operations,Coordinator,Bachelor,77219,27-09-2018,10,3
1097,Employee_97,Female,47,Finance,Financial Analyst,Master,101263,11-02-2019,10,5
1098,Employee_98,Female,35,IT,Software Engineer,Bachelor,89239,22-06-2022,6,5
1099,Employee_99,Male,24,Finance,Financial Analyst,MBA,97163,16-12-2018,2,2
1100,Employee_100,Male,35,IT,BI Analyst,MBA,108608,16-05-2019,9,4
